frequency,track_name
64129,Closer
47444,Home
43862,HUMBLE.
41480,Roses
41412,One Dance
39896,Congratulations
38756,Broccoli (feat. Lil Yachty)
37556,Let Me Love You
37409,Ride
35329,Forever
34914,Caroline
33609,Location
33254,Gold
33100,Sorry
33055,XO TOUR Llif3
33022,iSpy (feat. Lil Yachty)
32828,Bad and Boujee (feat. Lil Uzi Vert)
32477,Stay
32260,T-Shirt
31744,Bounce Back
31654,Unforgettable
30814,Don't
30773,Slide
30477,Ignition - Remix
30340,No Role Modelz
30117,Mask Off
30040,Don't Let Me Down
29984,Down
29790,Work
29763,Hello
29629,I'm the One
29583,No Problem (feat. Lil Wayne & 2 Chainz)
29573,Fake Love
29375,Riptide
29283,Jumpman
29269,Panda
29212,goosebumps
28728,Shape of You
28646,Despacito - Remix
28551,Gold Digger
28329,Redbone
28216,White Iverson
28150,Mercy
28023,Trap Queen
27634,The Hills
27201,Let It Go
27105,Skinny Love
26747,Black Beatles
26719,Starboy
26198,Alright
26068,Mr. Brightside
26021,Blessings
25976,Ni**as In Paris
25879,Hotline Bling
25844,Say It
25615,Say My Name
25469,Needed Me
25457,Lean On (feat. MØ & DJ Snake)
25430,That's What I Like
25358,Don't Stop Believin'
25318,Hallelujah
25158,Stronger
25106,DNA.
24704,Antidote
24698,1-800-273-8255
24697,Thinking Out Loud
24563,rockstar
24404,I Don't Fuck With You
24328,679 (feat. Remy Boyz)
23873,Can't Feel My Face
23862,Yeah!
23843,"Me, Myself & I"
23809,Waves
23794,Hurricane
23785,Radioactive
23750,Deja Vu
23682,Low Life
23500,September
23416,Drive
23327,Chill Bill
23289,Tunnel Vision
23180,My House
23166,Paris
23111,Slippery (feat. Gucci Mane)
23089,I Took A Pill In Ibiza - Seeb Remix
23072,Bohemian Rhapsody - Remastered 2011
22937,Too Good
22696,My Girl
22504,Believer
22473,Never Be Like You
22439,Photograph
22438,Perfect
22224,Intro
22146,Selfish
22119,Stressed Out
22099,V. 3005
21961,Passionfruit
21898,Monster
21888,It Wasn't Me
21878,Love Yourself
21863,Cold Water (feat. Justin Bieber & MØ)
21697,Young Dumb & Broke
21624,This Is What You Came For
21499,Stay (with Alessia Cara)
21391,Say You Won't Let Go
21300,Uptown Funk
21257,Body Like A Back Road
21237,Famous
21195,Sober
21144,Beautiful
21046,Let Her Go
20999,Swang
20951,Trouble
20914,Sweet Home Alabama
20900,Cheap Thrills
20770,Alive
20765,Bank Account
20761,Crazy
20710,F**kin' Problems
20672,With You
20604,Shut Up and Dance
20583,I'm Yours
20554,All I Want
20534,Everyday
